Procedimento,,Descrição do Procedimento,,,,,,,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050059,,,CATETER BALAO P/ EMBOLECTOMIA ARTERIAL / VENOSA,,,"96,20",,1
,0403010136,,,MICROCIRURGIA DA SIRINGOMIELIA,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,10
,,,0702010030,,,CATETER ATRIAL / PERITONEAL,,,"140,65",,1
,,,0702010065,,,CATETER VENTRICULAR ISOLADO,,,"48,60",,1
,0403010144,,,RECONSTRUCAO CRANIANA / CRANIO-FACIAL,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050440,,,PATCH ORGANICO (ATE 260 CM2),,,"1,07",,260
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,10
,,,0702050431,,,PATCH INORGANICO (ATE 260 CM2),,,",94",,260
,,,0702031380,,,CIMENTO S/ ANTIBIOTICO,,,"145,42",,3
,0403010152,,,RESSECÇÃO DE MUCOCELE FRONTAL,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,5
,0403010187,,,REVISÃO DE DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702010219,,,VALVULA PARA HIDROCEFALIA,,,"303,53",,1
,,,0702010065,,,CATETER VENTRICULAR ISOLADO,,,"48,60",,1
,,,0702010030,,,CATETER ATRIAL / PERITONEAL,,,"140,65",,1
,,,0702010081,,,CONECTOR EM Y / RETO,,,"78,43",,1
,,,0702010057,,,CATETER VENTRICULAR C/ RESERVATORIO,,,"98,87",,1
,0403010195,,,TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,5
,0403010217,,,TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,6
,0403010225,,,TRATAMENTO CIRÚRGICO DE DISRAFISMO ABERTO,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702010090,,,CONJUNTO DE CATETER DE DRENAGEM EXTERNA E/OU MPIC,,,"525,02",,1
,0403010241,,,TRATAMENTO CIRÚRGICO DE FÍSTULA LIQUORICA CRANIANA,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050482,,,PLACA DE TITÂNIO SISTEMA MINI/MICROFRAGMENTOS (INCLUI PARA,,,"361,81",,5
,,,0702050431,,,PATCH INORGANICO (ATE 260 CM2),,,",94",,260
,,,0702050440,,,PATCH ORGANICO (ATE 260 CM2),,,"1,07",,260
,0403010250,,,TRATAMENTO CIRÚRGICO DE FISTULA LIQUORICA RAQUIDIANA,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
,,,0702050440,,,PATCH ORGANICO (ATE 260 CM2),,,"1,07",,260
,,,0702050431,,,PATCH INORGANICO (ATE 260 CM2),,,",94",,260
,0403010268,,,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO,,,,,,,
,,,,,,,,Valor Unit.,,,
,,,,Prótese,,,Descrição da Prótese,,,Qtd. Máxima,
Procedimento,,Descrição do Procedimento,,,,,,,,,
