INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jun/2016
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0407040129 HERNIOPLASTIA UMBILICAL 2 2 1.073,98 801,10 - - 272,88 - - 536,99 536,99 2 1,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2 1.556,04 1.276,06 - - 279,98 - - 778,02 778,02 16 8,0 - -
0408010150 TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA 1 1 402,70 299,52 - - 103,18 - - 402,70 402,70 1 1,0 - -
0408020024 AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES 1 1 427,33 305,68 - - 121,65 - - 427,33 427,33 4 4,0 - -
0408020334 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO 1 1 814,88 680,29 - - 134,59 - - 814,88 814,88 2 2,0 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 3 3 10.121,69 9.179,34 - - 942,35 - - 3.373,90 3.373,90 16 5,3 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 2 2 2.203,26 1.747,78 - - 455,48 - - 1.101,63 1.101,63 15 7,5 - -
0408050551 TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL 1 1 685,86 540,79 - - 145,07 - - 685,86 685,86 5 5,0 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 3 3 7.535,12 6.520,52 - - 1.014,60 - - 2.511,71 2.511,71 28 9,3 - -
0408060042 AMPUTACAO / DESARTICULACAO DE DEDO 2 2 1.606,64 1.325,12 - - 281,52 - - 803,32 803,32 24 12,0 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 4 4 2.897,08 2.103,80 - - 793,28 - - 724,27 724,27 24 6,0 - -
0408060360 RETIRADA DE FIXADOR EXTERNO 2 2 309,69 197,77 - - 111,92 - - 154,84 154,84 2 1,0 - -
0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA 1 1 565,72 405,66 - - 160,06 - - 565,72 565,72 2 2,0 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 1 256,97 181,85 - - 75,12 - - 256,97 256,97 2 2,0 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 2 2 983,32 706,40 - - 276,92 - - 491,66 491,66 1 0,5 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 1 1 223,42 166,23 - - 57,19 - - 223,42 223,42 1 1,0 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 1 842,70 583,90 - - 258,80 - - 842,70 842,70 3 3,0 - -
0409060135 HISTERECTOMIA TOTAL 13 13 9.356,02 6.473,79 - - 2.882,23 - - 719,69 719,69 35 2,7 - -
0409060186 LAQUEADURA TUBARIA 2 2 774,04 496,10 - - 277,94 - - 387,02 387,02 2 1,0 - -
0409060194 MIOMECTOMIA 1 1 576,94 391,97 - - 184,97 - - 576,94 576,94 2 2,0 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 3 3 1.457,29 934,36 - - 522,93 - - 485,76 485,76 7 2,3 - -
0409070084 COLPOPLASTIA ANTERIOR 1 1 457,48 310,83 - - 146,65 - - 457,48 457,48 1 1,0 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 1 231,69 171,15 - - 60,54 - - 231,69 231,69 7 7,0 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 2 315,62 168,96 - - 146,66 - - 157,81 157,81 5 2,5 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 45 45 58.947,88 37.635,86 - - 21.312,02 - - 1.309,95 1.309,95 157 3,5 - -
0411010034 OPERACAO CESARIANA 170 170 140.690,44 81.407,50 - - 59.282,94 - - 827,59 827,59 404 2,4 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 18 18 19.869,62 12.414,92 - - 7.454,70 - - 1.103,87 1.103,87 42 2,3 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 2 2 299,16 185,52 - - 113,64 - - 149,58 149,58 2 1,0 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 53 53 13.514,46 9.720,81 - - 3.793,65 - - 254,99 254,99 83 1,6 - -
0411020021 EMBRIOTOMIA 1 1 315,62 167,90 - - 147,72 - - 315,62 315,62 4 4,0 - -
0411020030 HISTERECTOMIA PUERPERAL 1 1 1.825,72 1.511,03 - - 314,69 - - 1.825,72 1.825,72 26 26,0 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 4 4 3.261,87 2.611,47 - - 650,40 - - 815,47 815,47 11 2,8 - -
0412030101 DRENAGEM TUBULAR PLEURAL ABERTA (PLEUROSTOMIA) 1 1 1.195,40 857,43 - - 337,97 - - 1.195,40 1.195,40 11 11,0 - -
0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA 1 1 1.221,89 817,61 - - 404,28 - - 1.221,89 1.221,89 8 8,0 - -
0412040174 TORACOTOMIA EXPLORADORA 1 1 1.270,77 881,23 - - 389,54 - - 1.270,77 1.270,77 10 10,0 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 9 9 22.413,73 18.220,78 - - 4.192,95 - - 2.490,41 2.490,41 63 7,0 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 3 3 2.846,21 2.066,90 - - 779,31 - - 948,74 948,74 48 16,0 - -
Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.
COPIA COMO .CSV
COPIA PARA TABWIN
