INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2009
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0406020124 EMBOLECTOMIA ARTERIAL 1 1 1.581,61 1.196,20 - - 385,41 - - 1.581,61 1.581,61 2 2,0 - -
0407010211 GASTROSTOMIA 1 1 687,76 567,53 - - 120,23 - - 687,76 687,76 5 5,0 - -
0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO 1 1 766,06 509,34 - - 256,72 - - 766,06 766,06 2 2,0 - -
0407020039 APENDICECTOMIA 2 2 1.304,93 982,87 - - 322,06 - - 652,47 652,47 20 10,0 - -
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 1 1 3.459,08 3.191,82 - - 267,26 - - 3.459,08 3.459,08 9 9,0 - -
0407020233 EXCISAO DE LESAO INTESTINAL / MESENTERICA LOCALIZADA 1 1 2.741,69 2.323,80 - - 417,89 - - 2.741,69 2.741,69 3 3,0 1 100,00
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 2 2 524,24 362,94 - - 161,30 - - 262,12 262,12 3 1,5 - -
0407020284 HEMORROIDECTOMIA 7 7 2.235,58 1.361,70 - - 873,88 - - 319,37 319,37 7 1,0 - -
0407030026 COLECISTECTOMIA 39 39 30.829,64 20.930,45 - - 9.899,19 - - 790,50 790,50 59 1,5 - -
0407030123 ESPLENECTOMIA 1 1 1.023,98 837,12 - - 186,86 - - 1.023,98 1.023,98 3 3,0 - -
0407040048 HERNIOPLASTIA DIAFRAGMATICA (VIA ABDOMINAL) 1 1 1.170,26 1.009,78 - - 160,48 - - 1.170,26 1.170,26 10 10,0 1 100,00
0407040064 HERNIOPLASTIA EPIGASTRICA 2 2 1.127,74 827,58 - - 300,16 - - 563,87 563,87 2 1,0 - -
0407040080 HERNIOPLASTIA INCISIONAL 3 3 1.659,76 1.216,69 - - 443,07 - - 553,25 553,25 4 1,3 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 1 1 434,02 287,03 - - 146,99 - - 434,02 434,02 1 1,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 10 10 5.833,10 4.363,50 - - 1.469,60 - - 583,31 583,31 11 1,1 - -
0407040129 HERNIOPLASTIA UMBILICAL 3 3 1.304,97 895,65 - - 409,32 - - 434,99 434,99 4 1,3 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 1 2.640,97 2.229,78 - - 411,19 - - 2.640,97 2.640,97 11 11,0 - -
0407040188 LIBERACAO DE ADERENCIAS INTESTINAIS 1 1 829,06 683,84 - - 145,22 - - 829,06 829,06 2 2,0 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 1 531,89 425,44 - - 106,45 - - 531,89 531,89 3 3,0 - -
0408020547 TRATAMENTO CIRURGICO DE LUXACAO OU FRATURA-LUXACAO DO COTOVELO 1 1 343,42 233,27 - - 110,15 - - 343,42 343,42 4 4,0 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 2 2 7.621,27 6.677,75 - - 943,52 - - 3.810,64 3.810,64 37 18,5 - -
0408050527 TRATAMENTO CIRURGICO DE FRATURA DA PATELA POR FIXACAO INTERNA 1 1 511,67 352,09 - - 159,58 - - 511,67 511,67 1 1,0 - -
