INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Set/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0408040262 TRATAMENTO CIRURGICO DE FRATURA / LUXACAO / FRATURA-LUXACAO / DISJUNCAO DO ANEL PELVICO ANTER 1 1.822,04 5 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 2 4.411,07 12 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 1 2.169,95 12 1 100,00
0408060352 RETIRADA DE FIO OU PINO INTRA-OSSEO 1 151,66 - - -
0408060379 RETIRADA DE PLACA E/OU PARAFUSOS 1 225,16 2 - -
0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA 1 549,72 - - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 1 626,68 4 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 277,03 3 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 7 3.321,62 4 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 5 1.005,10 5 - -
0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU) 1 214,84 1 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 508,08 2 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 2 1.757,40 4 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 690,04 2 - -
0409060135 HISTERECTOMIA TOTAL 11 8.037,15 27 - -
0409060186 LAQUEADURA TUBARIA 9 3.508,58 11 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 1 533,86 1 - -
0409060232 SALPINGECTOMIA UNI / BILATERAL 1 561,59 1 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 2 944,86 5 - -
0409070068 COLPOPERINEOPLASTIA POSTERIOR 1 372,54 2 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 411,62 2 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 69 83.286,07 241 - -
0411010034 OPERACAO CESARIANA 135 109.570,11 306 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 17 18.947,23 40 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 65 16.191,23 82 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 7 3.454,46 16 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 10 19.248,36 76 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
