INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2012
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO 1 1 766,06 509,34 - - 256,72 - - 766,06 766,06 2 2,0 - -
0407020039 APENDICECTOMIA 2 2 953,34 631,28 - - 322,06 - - 476,67 476,67 6 3,0 - -
0407020101 COLOSTOMIA 1 1 1.396,97 1.199,91 - - 197,06 - - 1.396,97 1.396,97 10 10,0 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 1 1 254,12 173,47 - - 80,65 - - 254,12 254,12 2 2,0 - -
0407020284 HEMORROIDECTOMIA 3 3 947,82 573,30 - - 374,52 - - 315,94 315,94 3 1,0 - -
0407030026 COLECISTECTOMIA 17 17 12.380,72 8.154,35 - - 4.226,37 - - 728,28 728,28 30 1,8 - -
0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA 1 1 649,41 438,50 - - 210,91 - - 649,41 649,41 1 1,0 - -
0407030131 HEPATECTOMIA PARCIAL 1 1 1.243,01 803,04 - - 439,97 - - 1.243,01 1.243,01 3 3,0 - -
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL 1 1 462,03 345,88 - - 116,15 - - 462,03 462,03 10 10,0 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 1 1 559,87 409,79 - - 150,08 - - 559,87 559,87 1 1,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 11 11 6.718,61 5.102,05 - - 1.616,56 - - 610,78 610,78 11 1,0 - -
0407040129 HERNIOPLASTIA UMBILICAL 1 1 434,99 298,55 - - 136,44 - - 434,99 434,99 2 2,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2 1.785,78 1.505,80 - - 279,98 - - 892,89 892,89 36 18,0 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 1 550,94 444,49 - - 106,45 - - 550,94 550,94 - - 1 100,00
0408050039 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR 1 1 864,32 709,82 - - 154,50 - - 864,32 864,32 3 3,0 - -
0408050128 REALINHAMENTO DO MECANISMO EXTENSOR DO JOELHO 1 1 273,15 160,87 - - 112,28 - - 273,15 273,15 2 2,0 - -
0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE) 1 1 1.602,40 1.355,77 - - 246,63 - - 1.602,40 1.602,40 5 5,0 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 1 1 1.180,77 965,66 - - 215,11 - - 1.180,77 1.180,77 3 3,0 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 1 1 1.916,38 1.668,58 - - 247,80 - - 1.916,38 1.916,38 4 4,0 - -
0408050578 TRATAMENTO CIRURGICO DE FRATURA DO TORNOZELO UNIMALEOLAR 1 1 503,09 379,06 - - 124,03 - - 503,09 503,09 1 1,0 - -
0409030023 PROSTATECTOMIA SUPRAPUBICA 2 2 2.123,42 1.270,48 - - 852,94 - - 1.061,71 1.061,71 6 3,0 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 4 4 1.870,64 1.316,80 - - 553,84 - - 467,66 467,66 3 0,8 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 4 4 929,86 689,49 - - 240,37 - - 232,47 232,47 7 1,8 - -
0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME 1 1 185,38 114,50 - - 70,88 - - 185,38 185,38 2 2,0 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 2 2 1.757,40 1.239,80 - - 517,60 - - 878,70 878,70 4 2,0 - -
0409060135 HISTERECTOMIA TOTAL 4 4 3.005,06 2.118,22 - - 886,84 - - 751,27 751,27 11 2,8 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 2 2 1.091,72 788,00 - - 303,72 - - 545,86 545,86 2 1,0 - -
0409060232 SALPINGECTOMIA UNI / BILATERAL 1 1 489,59 336,72 - - 152,87 - - 489,59 489,59 1 1,0 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 1 472,43 298,12 - - 174,31 - - 472,43 472,43 2 2,0 - -
0409070130 EPISIOPERINEORRAFIA NAO OBSTETRICA 1 1 128,44 55,09 - - 73,35 - - 128,44 128,44 1 1,0 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 1 1 224,68 161,83 - - 62,85 - - 224,68 224,68 4 4,0 - -
0409070254 TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL 1 1 1.280,88 982,45 - - 298,43 - - 1.280,88 1.280,88 3 3,0 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 1 157,81 84,48 - - 73,33 - - 157,81 157,81 1 1,0 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 31 31 37.087,65 22.829,97 - - 14.257,68 - - 1.196,38 1.196,38 91 2,9 - -
0411010034 OPERACAO CESARIANA 207 207 170.231,45 98.341,21 - - 71.890,24 - - 822,37 822,37 386 1,9 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 13 13 14.662,37 9.278,42 - - 5.383,95 - - 1.127,87 1.127,87 21 1,6 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 57 57 14.271,14 10.219,07 - - 4.052,07 - - 250,37 250,37 84 1,5 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 5 5 2.615,71 1.972,21 - - 643,50 - - 523,14 523,14 13 2,6 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 3 3 5.648,34 4.384,75 - - 1.263,59 - - 1.882,78 1.882,78 8 2,7 - -
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 1 1 3.492,77 2.966,24 - - 526,53 - - 3.492,77 3.492,77 17 17,0 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 1 1 1.305,36 942,39 - - 362,97 - - 1.305,36 1.305,36 44 44,0 - -
Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.
COPIA COMO .CSV
COPIA PARA TABWIN
