INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2011
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 3 3 11.201,48 9.755,57 - - 1.445,91 - - 3.733,83 3.733,83 32 10,7 1 33,33
0308020030 TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDI 1 1 160,95 134,33 - - 26,62 - - 160,95 160,95 3 3,0 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 4 4 904,61 787,77 - - 116,84 - - 226,15 226,15 11 2,8 - -
0310010039 PARTO NORMAL 318 318 201.814,14 103.104,68 - - 98.709,46 - - 634,64 634,64 463 1,5 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 11 11 8.365,01 4.490,43 - - 3.874,58 - - 760,46 760,46 21 1,9 - -
0401020088 EXERESE DE CISTO SACRO-COCCIGEO 1 1 143,72 88,43 - - 55,29 - - 143,72 143,72 1 1,0 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 1 1 182,11 121,28 - - 60,83 - - 182,11 182,11 1 1,0 - -
0406020124 EMBOLECTOMIA ARTERIAL 1 1 1.626,95 1.241,54 - - 385,41 - - 1.626,95 1.626,95 - - - -
0407010270 TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA) 1 1 2.294,21 1.998,30 - - 295,91 - - 2.294,21 2.294,21 3 3,0 - -
0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO 1 1 826,12 565,53 - - 260,59 - - 826,12 826,12 5 5,0 - -
0407020039 APENDICECTOMIA 1 1 438,62 277,59 - - 161,03 - - 438,62 438,62 1 1,0 - -
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 1 1 3.238,55 2.971,29 - - 267,26 - - 3.238,55 3.238,55 6 6,0 - -
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL 1 1 246,81 166,16 - - 80,65 - - 246,81 246,81 1 1,0 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 1 1 650,09 503,40 - - 146,69 - - 650,09 650,09 6 6,0 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 1 1 262,12 181,47 - - 80,65 - - 262,12 262,12 1 1,0 - -
0407020306 JEJUNOSTOMIA / ILEOSTOMIA 2 2 7.512,97 6.464,72 - - 1.048,25 - - 3.756,49 3.756,49 26 13,0 1 50,00
0407030026 COLECISTECTOMIA 10 10 7.267,04 4.780,94 - - 2.486,10 - - 726,70 726,70 18 1,8 - -
0407030123 ESPLENECTOMIA 1 1 2.017,87 1.695,41 - - 322,46 - - 2.017,87 2.017,87 4 4,0 - -
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL 1 1 437,83 321,68 - - 116,15 - - 437,83 437,83 1 1,0 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 1 1 559,87 409,79 - - 150,08 - - 559,87 559,87 1 1,0 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 1 1 442,02 295,03 - - 146,99 - - 442,02 442,02 2 2,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 2 2 1.009,02 715,10 - - 293,92 - - 504,51 504,51 2 1,0 - -
0407040129 HERNIOPLASTIA UMBILICAL 1 1 466,99 330,55 - - 136,44 - - 466,99 466,99 4 4,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2 1.464,88 1.184,90 - - 279,98 - - 732,44 732,44 8 4,0 - -
0407040200 PERITONIOSTOMIA COM TELA INORGANICA 1 1 1.385,13 1.143,67 - - 241,46 - - 1.385,13 1.385,13 29 29,0 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 2 2 1.266,61 1.053,71 - - 212,90 - - 633,30 633,30 10 5,0 - -
0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE) 1 1 690,10 517,99 - - 172,11 - - 690,10 690,10 2 2,0 - -
0408040050 ARTROPLASTIA PARCIAL DE QUADRIL 1 1 2.415,63 2.137,47 - - 278,16 - - 2.415,63 2.415,63 15 15,0 - -
0408050462 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS 1 1 268,43 154,26 - - 114,17 - - 268,43 268,43 1 1,0 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 1 1 1.202,97 955,17 - - 247,80 - - 1.202,97 1.202,97 3 3,0 - -
0408050870 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO/ PERDA OSSEA DA METAFISE TIBIAL 1 1 1.687,61 1.509,84 - - 177,77 - - 1.687,61 1.687,61 3 3,0 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 1 2.393,80 2.131,55 - - 262,25 - - 2.393,80 2.393,80 6 6,0 - -
0408060379 RETIRADA DE PLACA E/OU PARAFUSOS 1 1 225,16 163,60 - - 61,56 - - 225,16 225,16 1 1,0 - -
0409010316 PIELOLITOTOMIA 1 1 658,19 474,83 - - 183,36 - - 658,19 658,19 7 7,0 - -
0409020176 URETROTOMIA INTERNA 1 1 436,86 353,33 - - 83,53 - - 436,86 436,86 4 4,0 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 6 6 3.968,08 1.996,84 - - 1.971,24 - - 661,35 661,35 21 3,5 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 1 1 467,66 329,20 - - 138,46 - - 467,66 467,66 1 1,0 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 5 5 1.029,10 743,15 - - 285,95 - - 205,82 205,82 3 0,6 - -
0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME 1 1 185,38 114,50 - - 70,88 - - 185,38 185,38 1 1,0 - -
0409060135 HISTERECTOMIA TOTAL 13 13 9.599,33 6.717,10 - - 2.882,23 - - 738,41 738,41 30 2,3 - -
0409060186 LAQUEADURA TUBARIA 10 10 3.870,20 2.480,50 - - 1.389,70 - - 387,02 387,02 10 1,0 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 1 472,43 298,12 - - 174,31 - - 472,43 472,43 2 2,0 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 32 32 39.864,82 24.915,88 - - 14.948,94 - - 1.245,78 1.245,78 99 3,1 1 3,13
0411010034 OPERACAO CESARIANA 228 228 185.701,76 106.915,23 - - 78.786,53 - - 814,48 814,48 332 1,5 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 18 18 20.006,10 12.551,40 - - 7.454,70 - - 1.111,45 1.111,45 26 1,4 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 1 1 145,58 88,76 - - 56,82 - - 145,58 145,58 1 1,0 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 53 53 12.771,62 9.012,80 - - 3.758,82 - - 240,97 240,97 74 1,4 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 2 2 1.033,03 775,63 - - 257,40 - - 516,51 516,51 4 2,0 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 5 5 12.145,01 10.121,40 - - 2.023,61 - - 2.429,00 2.429,00 31 6,2 - -
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 7 7 23.871,60 20.289,76 - - 3.581,84 - - 3.410,23 3.410,23 62 8,9 2 28,57
Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.
COPIA COMO .CSV
COPIA PARA TABWIN
