 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês processamento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jan/2008-Out/2025
"Ano/mês processamento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Setembro/2022";909;909;1174901,09;862907,40;-;-;311993,69;-;-;1292,52;1292,52;3321;3,7;10;1,10
"..Outubro/2022";917;917;1227065,14;910238,52;-;-;316826,62;-;-;1338,13;1338,13;3564;3,9;22;2,40
"..Novembro/2022";945;945;1304787,03;958899,01;-;-;345888,02;-;-;1380,73;1380,73;3617;3,8;10;1,06
"..Dezembro/2022";946;946;1180565,35;875203,36;-;-;305361,99;-;-;1247,95;1247,95;3310;3,5;19;2,01
"2023";11756;11756;14581962,42;11000501,81;-;-;3581460,61;-;-;1240,38;1240,38;42489;3,6;165;1,40
"Janeiro/2023";973;973;1268029,45;964280,73;-;-;303748,72;-;-;1303,22;1303,22;3834;3,9;15;1,54
"Fevereiro/2023";939;939;1131021,31;849550,00;-;-;281471,31;-;-;1204,50;1204,50;3351;3,6;8;0,85
"Março/2023";1004;1004;1328323,91;1007950,88;-;-;320373,03;-;-;1323,03;1323,03;3927;3,9;13;1,29
"Abril/2023";995;995;1156818,44;859278,54;-;-;297539,90;-;-;1162,63;1162,63;3443;3,5;10;1,01
"Maio/2023";985;985;1210600,67;910168,47;-;-;300432,20;-;-;1229,04;1229,04;3820;3,9;21;2,13
"Junho/2023";936;936;1135423,18;847126,13;-;-;288297,05;-;-;1213,06;1213,06;3219;3,4;12;1,28
"Julho/2023";954;954;1140081,93;855220,13;-;-;284861,80;-;-;1195,05;1195,05;3331;3,5;18;1,89
"Agosto/2023";1009;1009;1293117,25;975457,98;-;-;317659,27;-;-;1281,58;1281,58;3422;3,4;18;1,78
"Setembro/2023";1004;1004;1165990,49;876297,05;-;-;289693,44;-;-;1161,35;1161,35;3420;3,4;9;0,90
