GRUPO: Procedimentos Com Finalidade Diagnóstica,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0306020068,TRANSFUSAO DE CONCENTRADO DE HEMACIAS,"696,37",,Item Especial,83,"696,37","0,00",,"696,37"
0306020076,TRANSFUSAO DE CONCENTRADO DE PLAQUETAS,"226,53",,Item Especial,27,"226,53","0,00",,"226,53"
0306020106,TRANSFUSAO DE PLASMA FRESCO,"75,51",,Item Especial,9,"75,51","0,00",,"75,51"
0308040015,TRATAMENTO DE COMPLICACOES DE ,"2.790,62",,Proc. Realizado,14,"2.381,68","387,52",,"2.769,20"
0310010020,ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO ,"27.379,20",,Item Especial,496,"0,00","27.379,20",,"27.379,20"
0310010039,PARTO NORMAL,"136.123,80",,Proc. Realizado,307,"89.134,38","58.595,88",,"147.730,26"
0310010047,PARTO NORMAL EM GESTAÇÃO DE ALTO RISCO,"22.218,84",,Proc. Realizado,36,"13.478,76","8.786,52",,"22.265,28"
Total do Grupo:,,,,,,,,4801,"297.282,86"
GRUPO: Procedimentos Cirúrgicos,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0401010015,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,"64,80",,Item Especial,2,"64,80","0,00",,"64,80"
0402010027,PARATIREOIDECTOMIA,"833,30",,Proc. Realizado,1,"482,34","350,96",,"833,30"
0402010043,TIREOIDECTOMIA TOTAL,"451,37",,Proc. Realizado,1,"267,12","230,70",,"497,82"
0404010377,TRAQUEOSTOMIA,"1.109,46",,Proc. Realizado,2,"788,14","294,86",,"1.083,00"
0406020124,EMBOLECTOMIA ARTERIAL,"6.123,00",,Proc. Realizado,4,"4.581,36","1.541,64",,"6.123,00"
0407010270,TRATAMENTO CIRÚRGICO DE ACALASIA ,"2.270,21",,Proc. Realizado,1,"1.974,30","295,91",,"2.270,21"
0407020039,APENDICECTOMIA,"414,62",,Proc. Realizado,1,"253,59","161,03",,"414,62"
0407020063,COLECTOMIA PARCIAL (HEMICOLECTOMIA),"1.817,45",,Proc. Realizado,1,"1.550,19","255,12",,"1.805,31"
0407020071,COLECTOMIA TOTAL,"1.403,91",,Proc. Realizado,1,"1.147,33","249,88",,"1.397,21"
0407020101,COLOSTOMIA,"2.347,54",,Proc. Realizado,2,"1.968,90","378,64",,"2.347,54"
0407020179,ENTERECTOMIA,"2.434,40",,Proc. Realizado,2,"2.055,74","368,12",,"2.423,86"
0407020187,ENTEROANASTOMOSE (QUALQUER SEGMENTO),"1.174,36",,Proc. Realizado,1,"738,77","189,34",,"928,11"
0407020209,ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / ,"788,04",,Proc. Realizado,1,"482,03","158,87",,"640,90"
0407020306,JEJUNOSTOMIA / ILEOSTOMIA,"942,57",,Proc. Realizado,1,"569,54","170,23",,"739,77"
0407020403,RETOSSIGMOIDECTOMIA ABDOMINAL,"1.453,79",,Proc. Realizado,1,"897,92","251,91",,"1.149,83"
0407030018,ANASTOMOSE BILEO-DIGESTIVA,"2.322,62",,Proc. Realizado,2,"1.437,86","419,89",,"1.857,75"
0407030026,COLECISTECTOMIA,"22.915,82",,Proc. Realizado,23,"14.727,59","8.281,11",,"23.008,70"
0407040030,DRENAGEM DE HEMATOMA / ABSCESSO PRE-,"437,83",,Proc. Realizado,1,"321,68","112,11",,"433,79"
0407040064,HERNIOPLASTIA EPIGASTRICA,"801,73",,Proc. Realizado,1,"586,82","214,91",,"801,73"
0407040080,HERNIOPLASTIA INCISIONAL,"1.619,76",,Proc. Realizado,3,"1.176,69","458,55",,"1.635,24"
0407040099,HERNIOPLASTIA INGUINAL (BILATERAL),"1.220,12",,Proc. Realizado,2,"799,14","420,98",,"1.220,12"
0407040102,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),"5.741,73",,Proc. Realizado,9,"3.847,68","1.894,14",,"5.741,82"
0407040129,HERNIOPLASTIA UMBILICAL,"1.739,96",,Proc. Realizado,4,"1.194,20","545,76",,"1.739,96"
0407040196,PARACENTESE ABDOMINAL,"24,54",,Item Especial,2,"24,54","0,00",,"24,54"
0407040218,PNEUMOPERITONIO (POR SESSAO),"95,41",,Item Especial,7,"95,41","0,00",,"95,41"
0407040242,RESSUTURA DE PAREDE ABDOMINAL (POR ,"3.191,34",,Proc. Realizado,6,"2.382,46","651,70",,"3.034,16"
0408050160,RECONSTRUÇÃOLIGAMENTAR INTRA-ARTICULAR ,"140.412,42",,Proc. Realizado,18,"111.347,10","29.065,32",,"140.412,42"
0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,"1.352,12",,Proc. Realizado,4,"684,69","414,00",,"1.098,69"
0409010170,INSTALAÇÃO ENDOSCÓPICA DE CATETER DUPLO J,"218,68",,Proc. Realizado,1,"138,88","85,77",,"224,65"
0409010359,PUNÇÃO/ASPIRAÇÃO DA BEXIGA,"12,97",,Item Especial,1,"12,97","0,00",,"12,97"
0409030040,RESSECÇÃO ENDOSCÓPICA DE PRÓSTATA,"851,58",,Proc. Realizado,1,"381,11","474,34",,"855,45"
0409060011,CERCLAGEM DE COLO DO UTERO,"178,01",,Proc. Realizado,1,"97,31","80,70",,"178,01"
0409060038,EXCISÃO TIPO 3 DO COLO UTERINO,"1.774,64",,Proc. Realizado,4,"1.098,72","582,33",,"1.681,05"
0409060046,CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO ,"502,26",,Proc. Realizado,3,"330,69","171,57",,"502,26"
0409060100,HISTERECTOMIA (POR VIA VAGINAL),"3.294,15",,Proc. Realizado,5,"1.980,95","1.241,69",,"3.222,64"
0409060119,HISTERECTOMIA C/ ANEXECTOMIA (UNI / ,"17.658,24",,Proc. Realizado,16,"11.728,64","5.844,20",,"17.572,84"
0409060127,HISTERECTOMIA SUBTOTAL,"2.345,79",,Proc. Realizado,3,"1.271,26","650,81",,"1.922,07"
0409060135,HISTERECTOMIA TOTAL,"3.631,72",,Proc. Realizado,4,"2.361,76","1.191,33",,"3.553,09"
0409060186,LAQUEADURA TUBARIA,"6.311,24",,Proc. Realizado,13,"3.724,11","2.587,13",,"6.311,24"
0409060194,MIOMECTOMIA,"528,94",,Proc. Realizado,1,"257,98","141,46",,"399,44"
0409060216,OOFORECTOMIA / OOFOROPLASTIA,"3.059,16",,Proc. Realizado,6,"1.879,50","934,00",,"2.813,50"
0409060232,SALPINGECTOMIA UNI / BILATERAL,"1.862,36",,Proc. Realizado,4,"1.016,34","708,52",,"1.724,86"
0409060275,TRAQUELOPLASTIA,"324,23",,Proc. Realizado,1,"177,59","146,64",,"324,23"
0409060313,LAQUEADURA TUBÁRIA NA MESMA INTERNAÇÃO DE ,"14.078,92",,Proc. Realizado,29,"8.307,63","5.771,29",,"14.078,92"
0409070050,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR,"944,86",,Proc. Realizado,2,"521,71","379,53",,"901,24"
0409070068,COLPOPERINEOPLASTIA POSTERIOR,"745,08",,Proc. Realizado,2,"338,84","395,84",,"734,68"
0409070130,EPISIOPERINEORRAFIA NAO OBSTETRICA,"128,44",,Proc. Realizado,1,"55,09","73,36",,"128,45"
0409070157,EXERESE DE GLÂNDULA DE BARTHOLIN / SKENE,"224,68",,Proc. Realizado,1,"161,83","62,86",,"224,69"
0409070190,MARSUPIALIZACAO DE GLÂNDULA DE BARTOLIN,"279,92",,Proc. Realizado,2,"188,28","91,64",,"279,92"
0410010014,DRENAGEM DE ABSCESSO DE MAMA,"171,51",,Proc. Realizado,1,"122,58","48,93",,"171,51"
0411010026,OPERAÇÃO CESARIANA EM GESTAÇÃO DE ALTO ,"20.491,62",,Proc. Realizado,23,"15.198,17","5.432,14",,"20.630,31"
0411010034,OPERAÇÃO CESARIANA,"55.664,46",,Proc. Realizado,102,"43.789,62","16.861,97",,"60.651,59"
0411010042,OPERAÇÃO CESARIANA COM LAQUEADURA ,"15.826,17",,Proc. Realizado,29,"14.515,37","5.512,23",,"20.027,60"
0411020013,CURETAGEM POS-ABORTAMENTO / PUERPERAL,"10.956,82",,Proc. Realizado,61,"6.661,81","4.403,37",,"11.065,18"
0411020048,TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA,"3.214,26",,Proc. Realizado,7,"2.313,36","900,90",,"3.214,26"
0412050170,TORACOCENTESE/DRENAGEM DE PLEURA,"109,94",,Item Especial,2,"25,94","84,00",,"109,94"
0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS ,"1.086,16",,Proc. Realizado,2,"654,34","387,79",,"1.042,13"
0417010010,ANESTESIA OBSTETRICA P/ CESARIANA,"7.953,40",,Item Especial,130,"0,00","7.953,40",,"7.953,40"
0417010036,ANESTESIA OBSTETRICA P/CESARIANA EM ,"2.028,60",,Item Especial,21,"0,00","2.028,60",,"2.028,60"
0417010060,SEDACAO,"60,60",,Item Especial,4,"0,00","60,60",,"60,60"
Total do Grupo:,,,,,,,,587,"388.424,93"
GRUPO: Medicamentos,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0603030017,IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA ,"2.611,84",,Item Especial,28,"2.611,84","0,00",,"2.611,84"
0603040012,"CABERGOLINA 0,5 MG (POR COMPRIMIDO)","380,96",,Item Especial,8,"380,96","0,00",,"380,96"
0603060013,SURFACTANTE FRASCO-AMPOLA,"4.157,92",,Item Especial,8,"4.157,92","0,00",,"4.157,92"
0603070019,ALBUMINA HUMANA 20 POR CENTO (FRASCO-,"2.420,00",,Item Especial,44,"2.420,00","0,00",,"2.420,00"
Total do Grupo:,,,,,,,,88,"9.570,72"
"GRUPO: Órteses, Próteses E Materiais Especiais",,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0702030716,PARAFUSO DE INTERFERÊNCIA DE TITÂNIO,"17.506,44",,Item Especial,36,"17.506,44","0,00",,"17.506,44"
